2026-04-12 10:50:26.932 | DEBUG    | utils.json_parser:extract_json:48 | Strategy 'direct_parse' failed: Expecting value: line 1 column 1 (char 0)
2026-04-12 10:50:26.933 | DEBUG    | utils.json_parser:extract_json:48 | Strategy 'code_fence_extraction' failed: Invalid control character at: line 126 column 21 (char 6874)
2026-04-12 10:50:26.933 | DEBUG    | utils.json_parser:extract_json:48 | Strategy 'brace_extraction' failed: Invalid control character at: line 126 column 21 (char 6874)
2026-04-12 10:50:26.933 | ERROR    | utils.json_parser:extract_json:51 | All JSON extraction strategies failed
2026-04-12 10:50:26.933 | WARNING  | models.llm.llm_loader:generate_json:111 | Could not parse JSON from response (attempt 2). Response preview: ```json
{
  "report_type": "survey_report",
  "category": "Health",
  "generated_at": "2026-04-12T05:19:11.824708+00:00",
  "executive_summary": "Analysis of 10 civic issue documents reveals two criti
2026-04-12 10:50:28.936 | INFO     | models.llm.llm_loader:generate_json:89 | Generating JSON report (attempt 3/3)...
2026-04-12 10:51:12.520 | DEBUG    | models.llm.llm_loader:generate_json:103 | Raw LLM response length: 7591 chars
2026-04-12 10:51:12.520 | DEBUG    | utils.json_parser:extract_json:48 | Strategy 'direct_parse' failed: Expecting value: line 1 column 1 (char 0)
2026-04-12 10:51:12.523 | DEBUG    | utils.json_parser:extract_json:48 | Strategy 'code_fence_extraction' failed: Invalid control character at: line 132 column 21 (char 7069)
2026-04-12 10:51:12.524 | DEBUG    | utils.json_parser:extract_json:48 | Strategy 'brace_extraction' failed: Invalid control character at: line 132 column 21 (char 7069)
2026-04-12 10:51:12.524 | ERROR    | utils.json_parser:extract_json:51 | All JSON extraction strategies failed
2026-04-12 10:51:12.525 | WARNING  | models.llm.llm_loader:generate_json:111 | Could not parse JSON from response (attempt 3). Response preview: ```json
{
  "report_type": "survey_report",
  "category": "Health",
  "generated_at": "2026-04-12T05:19:11.824708+00:00",
  "executive_summary": "Analysis reveals two critical, recurring public health
2026-04-12 10:51:12.525 | ERROR    | services.report_generator.survey_report_generator:generate:63 | LLM returned empty survey report for: Health
2026-04-12 10:51:12.525 | SUCCESS  | utils.logger:wrapper:72 | OK DONE  -- Generating survey report (120.70s)
2026-04-12 10:51:12.526 | SUCCESS  | utils.logger:wrapper:72 | OK DONE  -- Survey Report Pipeline (125.90s)
2026-04-12 10:51:12.527 | INFO     | app.routes.survey_report:generate_survey_report:95 | Phase 1 & 2 completed in 173.58s
2026-04-12 10:51:12.529 | INFO     | app.dependencies:get_fusion_pipeline:84 | Fusion pipeline initialized
2026-04-12 10:51:12.529 | INFO     | utils.logger:wrapper:67 | >> START -- Fusion Report Pipeline
2026-04-12 10:51:12.530 | INFO     | utils.logger:wrapper:67 | >> START -- Generating fusion report
2026-04-12 10:51:12.531 | INFO     | models.llm.llm_loader:generate_json:89 | Generating JSON report (attempt 1/3)...
2026-04-12 10:52:30.048 | DEBUG    | utils.json_parser:extract_json:48 | Strategy 'direct_parse' failed: Expecting value: line 1 column 1 (char 0)
2026-04-12 10:52:30.049 | DEBUG    | utils.json_parser:extract_json:45 | JSON extracted via strategy: code_fence_extraction
2026-04-12 10:52:30.049 | DEBUG    | utils.json_parser:extract_json:48 | Strategy 'direct_parse' failed: Expecting value: line 1 column 1 (char 0)
2026-04-12 10:52:30.049 | DEBUG    | utils.json_parser:extract_json:45 | JSON extracted via strategy: code_fence_extraction
2026-04-12 10:52:30.049 | DEBUG    | utils.json_parser:extract_json:48 | Strategy 'direct_parse' failed: Expecting value: line 1 column 1 (char 0)
2026-04-12 10:52:30.049 | DEBUG    | utils.json_parser:extract_json:45 | JSON extracted via strategy: code_fence_extraction
2026-04-12 10:53:21.384 | DEBUG    | utils.json_parser:extract_json:48 | Strategy 'direct_parse' failed: Expecting value: line 1 column 1 (char 0)
2026-04-12 10:53:21.385 | DEBUG    | utils.json_parser:extract_json:45 | JSON extracted via strategy: code_fence_extraction
2026-04-12 10:54:44.341 | DEBUG    | utils.json_parser:extract_json:48 | Strategy 'direct_parse' failed: Expecting value: line 1 column 1 (char 0)
2026-04-12 10:54:44.341 | DEBUG    | utils.json_parser:extract_json:45 | JSON extracted via strategy: code_fence_extraction
2026-04-12 10:56:10.129 | DEBUG    | utils.json_parser:extract_json:48 | Strategy 'direct_parse' failed: Expecting value: line 1 column 1 (char 0)
2026-04-12 10:56:10.129 | DEBUG    | utils.json_parser:extract_json:45 | JSON extracted via strategy: code_fence_extraction
2026-04-12 10:59:08.862 | INFO     | main:lifespan:30 | ============================================================
2026-04-12 10:59:08.862 | INFO     | main:lifespan:31 | [START] SwarajDesk AI Report Generator -- Starting Up
2026-04-12 10:59:08.862 | INFO     | main:lifespan:32 | ============================================================
2026-04-12 10:59:09.300 | INFO     | config.vector_db_config:verify_collections:87 | Collection 'survey_collection': 12121 records
2026-04-12 10:59:09.506 | INFO     | config.vector_db_config:verify_collections:87 | Collection 'backend_collection': 6500 records
2026-04-12 10:59:09.510 | INFO     | main:lifespan:38 | [OK] survey_collection: 12121 records
2026-04-12 10:59:09.511 | INFO     | main:lifespan:38 | [OK] backend_collection: 6500 records
2026-04-12 10:59:09.511 | INFO     | main:lifespan:45 | LLM Model: gemini-2.5-pro
2026-04-12 10:59:09.511 | INFO     | main:lifespan:46 | Categories: 17
2026-04-12 10:59:09.512 | INFO     | main:lifespan:47 | ============================================================
2026-04-12 10:59:33.206 | INFO     | utils.validator:resolve_category:35 | Category exact match: 'Health' → 'Health'
2026-04-12 10:59:33.206 | INFO     | app.routes.survey_report:generate_survey_report:71 | Category resolved: 'Health' → 'Health'
2026-04-12 10:59:33.209 | INFO     | models.llm.llm_loader:get_llm:278 | Creating GeminiLLM singleton instance...
2026-04-12 10:59:33.210 | INFO     | models.llm.llm_loader:__init__:48 | Initializing Gemini LLM: gemini-2.5-pro
2026-04-12 10:59:33.210 | INFO     | models.llm.llm_loader:__init__:91 | Gemini LLM ready: model=gemini-2.5-pro, temp=0.3, max_tokens=8192, response_mime_type=application/json
2026-04-12 10:59:33.211 | INFO     | app.dependencies:get_embedding_fn:35 | Initializing embedding function...
2026-04-12 10:59:33.211 | INFO     | config.vector_db_config:get_embedding_function:23 | Loading embedding model: gemini-embedding-001
2026-04-12 10:59:36.718 | INFO     | config.vector_db_config:get_vector_store:49 | Loading vector store: collection='survey_collection', path='D:\GEN_AI_PROJECTS\5_Report_Generator\data\embeddings'
2026-04-12 10:59:36.791 | INFO     | services.reranker.reranker:_get_cross_encoder:23 | Loading cross-encoder: cross-encoder/ms-marco-MiniLM-L-6-v2
2026-04-12 10:59:41.523 | INFO     | services.reranker.reranker:_get_cross_encoder:25 | Cross-encoder loaded.
2026-04-12 10:59:41.524 | INFO     | app.dependencies:get_survey_pipeline:63 | Survey pipeline initialized
2026-04-12 10:59:41.524 | INFO     | config.vector_db_config:get_vector_store:49 | Loading vector store: collection='backend_collection', path='D:\GEN_AI_PROJECTS\5_Report_Generator\data\embeddings'
2026-04-12 10:59:41.602 | INFO     | app.dependencies:get_backend_pipeline:74 | Backend pipeline initialized
2026-04-12 10:59:41.606 | INFO     | utils.logger:wrapper:67 | >> START -- Survey Report Pipeline
2026-04-12 10:59:41.608 | INFO     | utils.logger:wrapper:67 | >> START -- Backend Report Pipeline
2026-04-12 10:59:45.354 | INFO     | models.llm.llm_loader:expand_query:260 | Using fallback query: Health health hospital disease medical mosquito dengue malaria clinic sanitation
2026-04-12 10:59:45.354 | INFO     | pipelines.backend_pipeline:run:49 | Expanded query: Health health hospital disease medical mosquito dengue malaria clinic sanitation...
2026-04-12 10:59:45.354 | INFO     | utils.logger:wrapper:67 | >> START -- Hybrid retrieval
2026-04-12 10:59:45.356 | INFO     | utils.logger:wrapper:67 | >> START -- Vector retrieval
2026-04-12 10:59:45.606 | INFO     | models.llm.llm_loader:expand_query:260 | Using fallback query: Health health hospital disease medical mosquito dengue malaria clinic sanitation
2026-04-12 10:59:45.608 | INFO     | pipelines.survey_pipeline:run:52 | Expanded query: Health health hospital disease medical mosquito dengue malaria clinic sanitation...
2026-04-12 10:59:45.608 | INFO     | utils.logger:wrapper:67 | >> START -- Hybrid retrieval
2026-04-12 10:59:45.609 | INFO     | utils.logger:wrapper:67 | >> START -- Vector retrieval
2026-04-12 10:59:46.231 | INFO     | services.retriever.vector_retriever:retrieve:65 | Retrieved 40 documents (filter: ['Health'])
